"Material Name","Material Type","Base Color (F0)","Metalness","Specular Color","Specular Color (F82)","Density (kg/m3)","Relative Luminance","Description","References","Tags","MaterialX Download URL","Physics","Misc"
"Skin VI","Non-Metal","0.090,0.050,0.020","0","","","1020","0.056","","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nDonner, C., & Jensen, H. W., (2006), ""A Spectral BSSRDF for Shading Human Skin"", EGSR '06: Proceedings of the 17th Eurographics conference on Rendering Techniques, 409---417\nLister, T., Wright, P. A., & Chappell, P. H., (2012), ""Optical Properties of Human Skin"", Journal of Biomedical Optics, 17,(9), 090901\nLiang, X., & Boppart, S. A., (2010), ""Biomechanical Properties of In Vivo Human Skin From Dynamic Optical Coherence Elastography"", IEEE Transactions on Biomedical Engineering, 57,(4), 953---959\nJimenez, J., ""Next Generation Character Rendering"", (Accessed: 2025-01-26)\nJakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)","epidermis, sss","blob:https://physicallybased.info/c4838f8d-1ba6-43e0-82af-302860ab1cc2","Density: 1020 kg/m3","Relative Luminance: 0.056"
"Snow","Non-Metal","0.850,0.850,0.850","0","","","90","0.850","","Lagarde, S., ""Feeding a Physically Based Shading Model"", (Accessed: 2025-01-26)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)\nKAYE, G. W. C., & EVANS, E. J., (1939), ""Sound Absorption of Snow"", Nature, 143, 80\nMaysenhölder, W., Schneebeli, M., Zhou, X., Zhang, T., & Heggli, M., (2008), ""Sound Absorption of Snow"", IBP-Mitteilung\nMaysenhölder, W., Heggli, M., Zhou, X., Zhang, T., Frei, E., & Schneebeli, M., (2012), ""Microstructure and Sound Absorption of Snow"", Cold Regions Science and Technology, 83-84, 3---12","ice","blob:https://physicallybased.info/81b8d563-ce0c-488d-b7c4-c6f565f66325","Density: 90-450 kg/m3","Relative Luminance: 0.850"
"Soap Bubble","Non-Metal","","0","","","","","The colors of a soap bubble are the result of an interaction between the light reflected from the front and back surfaces of the soap film, a phenomenon known as thin-film interference. The thickness of a soap bubble can range between 10 nm and 1000 nm. It's thinner at the top due to gravity.","Fandom contributors, ""Soap Bubble Wiki - Color and Film Thickness"", Fandom, (Accessed: 2025-02-10)\nWikipedia contributors, ""Thin-Film Interference"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-10)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)","","blob:https://physicallybased.info/9697389b-dfb7-4300-b76b-7d6c972eeac9","",""
"Sodium","Metal","0.977,0.962,0.936","1","1.000,1.000,0.991","0.998,1.002,1.011","969","0.963","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-07-03)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Sodium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-07-03)","","blob:https://physicallybased.info/196da3d1-ae11-4ea1-a2c2-755e59fc9867","Density: 969 kg/m3","Relative Luminance: 0.963"
"Spectralon","Non-Metal","0.990,0.990,0.990","0","","","","0.990","Spectralon is a fluoropolymer that has the highest diffuse reflectance of any known material or coating over the ultraviolet, visible, and near-infrared regions of the spectrum. It is the whitest substance available and reflects 99% of the light.","Wikipedia contributors, ""Spectralon"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-12-15)\n""Spectralon Diffuse Reflectance Material"", Labsphere, Inc., (Accessed: 2025-12-15)","","blob:https://physicallybased.info/cb81be0f-24ad-4186-8c44-f4a304d4525b","","Relative Luminance: 0.990"
"Stainless Steel","Metal","0.669,0.639,0.598","1","0.804,0.791,0.714","0.789,0.823,0.870","7500","0.642","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Stainless Steel"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-05)","","blob:https://physicallybased.info/eca3f4c4-b477-4b8c-8951-6ecdb9f406a6","Density: 7500-8000 kg/m3","Relative Luminance: 0.642"
"Terracotta","Non-Metal","0.555,0.212,0.110","0","","","1800","0.278","","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2026-03-08)\nWikipedia contributors, ""Terracotta"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-03-08)\n""Technical Specifications - Darwen Terracotta"", Darwen Terracotta Limited, (Accessed: 2026-03-08)\nTran, A., ""All About Terracotta - Aurora Pots"", Aurora Pots, (Accessed: 2026-03-08)\n""Technicial Data of Terracotta Facade Panels"", LOPO Terracotta Facade Panels Manufacturer Corporation, (Accessed: 2026-03-08)","clay","blob:https://physicallybased.info/8b1dca59-2d0f-4ed3-ac88-18769053b782","Density: 1800-2200 kg/m3","Relative Luminance: 0.278"
"Tire","Non-Metal","0.023,0.023,0.023","0","","","","0.023","Car tire.","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-01-25)\nWikipedia contributors, ""Tire"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-05)","tyre, rubber","blob:https://physicallybased.info/dfbeadfd-166d-43ae-8eac-ae21d0fea821","","Relative Luminance: 0.023"
"Titanium","Metal","0.441,0.400,0.361","1","0.670,0.641,0.520","0.865,0.906,0.946","4540","0.406","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/f3467162-ec90-46ec-a957-76d734ca23b7","Density: 4540 kg/m3","Relative Luminance: 0.406"
"Titanium (Anodized)","Metal","0.441,0.400,0.361","1","0.670,0.641,0.520","0.865,0.906,0.946","4540","0.406","Titanium can be colorized by a process called anodization. It creates a layer of titanium dioxide by supplying different voltages which results in different thickness and color. Additional colors can be achieved by adding dyes.","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2026-02-07)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Titanium dioxide"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-02-07)\nWikipedia contributors, ""Anodizing"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-02-07)\nWalker, E., ""How Do You Anodize Titanium: A Step-by-Step Guide?"", Walker Metal Smith, (Accessed: 2026-02-07)\nRuan, B., ""Titanium Anodizing: Process, Benefits, and Applications"", Beska LLC, (Accessed: 2026-02-07)\nHuang, S., ""Titanium Anodizing: What It Is, How It Works, and Why It Matters"", Shenzhen Weixiang Hardware Products Co., Ltd, (Accessed: 2026-02-07)\nZhiqiang, W., Kunfeng, C., & Dongfeng, X., (2024), ""Crystallization Of Amorphous Anodized TiO2 Nanotube Arrays"", RSC Advances, 14,(12), 8195---8203\nYeji, C., & Chanyoung, J., (2026), ""Correlation Of Oxide Film Thickness With Interference Coloration And Corrosion Resistance In Anodized Titanium"", Electrochimica Acta, 545,(0013-4686), 147737","","blob:https://physicallybased.info/32e67792-deaf-4e34-99bc-5988e1d98149","Density: 4540 kg/m3","Relative Luminance: 0.406"
"Toilet Paper","Non-Metal","0.830,0.835,0.784","0","","","20","0.830","","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2026-03-08)\n""Why Is Paper Density Very Important for Tissue Paper?"", YuanhuaPaper, (Accessed: 2026-03-08)","","blob:https://physicallybased.info/22fc17e1-dae0-4e99-a420-6032bb39efe7","Density: 20-70 kg/m3","Relative Luminance: 0.830"
"Toner (Black)","Non-Metal","0.050,0.050,0.050","0","","","","0.050","Black toner printed on office paper with linear sRGB values of 0, 0, 0.","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-01-25)\nWikipedia contributors, ""Toner (printing)"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-10)","","blob:https://physicallybased.info/10483c3e-b5d1-4791-ac06-857041036ab2","","Relative Luminance: 0.050"
"Toothpaste","Non-Metal","0.932,0.937,0.929","0","","","1300","0.935","","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2026-03-08)\nCreeth, J., Bosma, M. L., & Govier, K., (2013), ""How Much Is A Pea-Sized Amount? A Study Of Dentifrice Dosing By Parents In Three Countries"", International Dental Journal, 63,(0020-6539), 25---30, (Accessed: 2026-03-08)\nEnax, J., Meyer, F., Schulze zur Wiesche, E., Fuhrmann, I. C., & Fabritius, H.-O., (2023), ""Toothpaste Abrasion and Abrasive Particle Content: Correlating High-Resolution Profilometric Analysis with Relative Dentin Abrasivity (RDA)"", Dentistry Journal, 11,(3), 79, (Accessed: 2026-03-08)\nRealFlow 10 Documentation, ""Hybrido Viscosity Table"", Next Limit Technologies, (Accessed: 2026-03-08)","","blob:https://physicallybased.info/2100491d-17d0-4249-b54a-be204ae6e6b0","Density: 1300-1500 kg/m3\nViscosity: 50000 mPa⋅s","Relative Luminance: 0.935"
"Tungsten","Metal","0.537,0.536,0.519","1","0.450,0.409,0.193","0.695,0.704,0.714","19300","0.535","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/3f5479aa-73ab-46f6-85a0-0925c489b236","Density: 19300 kg/m3","Relative Luminance: 0.535"
"Vanadium","Metal","0.534,0.526,0.546","1","0.474,0.426,0.175","0.705,0.715,0.695","6100","0.529","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/ac39540a-4e8a-4f46-b140-d7fe4f0ac68f","Density: 6100 kg/m3","Relative Luminance: 0.529"
"Water","Non-Metal","","0","","","958","","While relatively small quantities of water appear to be colorless, pure water has a slight blue color that becomes deeper as the thickness of the observed sample increases. The hue of water is an intrinsic property and is caused by selective absorption and scattering of white light. Dissolved elements or suspended impurities may give water a different color.","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Properties of Water"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-10)\nWikipedia contributors, ""Color of Water"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-10)\nWikipedia contributors, ""List of Viscosities"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Surface tension"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-08-30)\nRealFlow 10 Documentation, ""Hybrido Viscosity Table"", Next Limit Technologies, (Accessed: 2025-01-26)\n""Water - Dynamic (Absolute) and Kinematic Viscosity vs. Temperature and Pressure "", The Engineering ToolBox, (Accessed: 2025-01-26)\nJCW Acoustic Supplies, ""Absorption coefficients of common building materials and finishes"", (Accessed: 2025-01-26)\nHedeen, R. A., (1980), ""Compendium of Materials for Noise Control"", 55, (Accessed: 2025-02-10)\nSeungwan, L., Minseog, C., Eunsung, L., Kyu-Dong, J., Jong-hyeon, C., & Woonbae, K., (2013), ""Zoom Lens Design Using Liquid Lens for Laparoscope"", Optics Express, 21,(2), 1751---1761\nMobley, C. D., (1995), ""The Optical Properties of Water"", Handbook of optics, 43","","blob:https://physicallybased.info/f39bca23-03fe-47a5-8ee2-7ca878af28d0","Density: 958-1000 kg/m3\nViscosity: 1.002 mPa⋅s\nSurface Tension: 72 mN/m",""
"Whiteboard","Non-Metal","0.869,0.867,0.771","0","","","","0.860","","Jakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)\nPalmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2026-02-04)","","blob:https://physicallybased.info/a61413e2-a79e-4859-99da-bb0219d03419","","Relative Luminance: 0.860"
"Zinc","Metal","0.808,0.844,0.865","1","0.854,0.922,0.923","0.762,0.833,0.896","7000","0.838","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/c299d223-a7fe-43b1-844c-627f009988ec","Density: 7000 kg/m3","Relative Luminance: 0.838"
